cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
10752	0	non	66	110	0	na
10912	160	non	58	0	0	na
10912	0	non	61	0	0	na
10912	0	non	66	0	0	na
10944	32	non	58	110	0	na
10944	0	non	61	110	0	na
10944	0	non	66	110	0	na
11104	160	non	58	0	0	na
11104	0	non	61	0	0	na
11104	0	non	66	0	0	na
11136	32	non	59	110	0	na
11136	0	non	61	110	0	na
11136	0	non	66	110	0	na
11296	160	non	59	0	0	na
11296	0	non	61	0	0	na
11296	0	non	66	0	0	na
11328	32	non	59	110	0	na
11328	0	non	61	110	0	na
11328	0	non	66	110	0	na
11488	160	non	59	0	0	na
11488	0	non	61	0	0	na
11488	0	non	66	0	0	na
11520	32	non	58	110	0	na
11520	0	non	61	110	0	na
11520	0	non	66	110	0	na
11680	160	non	58	0	0	na
11680	0	non	61	0	0	na
11680	0	non	66	0	0	na
11712	32	non	58	110	0	na
11712	0	non	61	110	0	na
11712	0	non	66	110	0	na
11872	160	non	58	0	0	na
11872	0	non	61	0	0	na
11872	0	non	66	0	0	na
11904	32	non	59	110	0	na
11904	0	non	63	110	0	na
11904	0	non	66	110	0	na
12064	160	non	59	0	0	na
12064	0	non	63	0	0	na
12064	0	non	66	0	0	na
12096	32	non	59	110	0	na
12096	0	non	63	110	0	na
12096	0	non	66	110	0	na
12256	160	non	59	0	0	na
12256	0	non	63	0	0	na
12256	0	non	66	0	0	na
12288	32	non	59	110	0	na
12288	0	non	62	110	0	na
12288	0	non	66	110	0	na
12624	336	non	59	0	0	na
12624	0	non	62	0	0	na
12624	0	non	66	0	0	na
12672	48	non	59	110	0	na
12672	0	non	64	110	0	na
12832	160	non	59	0	0	na
12832	0	non	64	0	0	na
12864	32	non	59	110	0	na
12864	0	non	62	110	0	na
13024	160	non	59	0	0	na
13024	0	non	62	0	0	na
13152	128	non	52	110	0	na
13246	94	non	52	0	0	na
13344	98	non	52	110	0	na
13438	94	non	52	0	0	na
13440	2	non	69	110	0	na
13486	46	non	69	0	0	na
13488	2	non	81	110	0	na
13534	46	non	81	0	0	na
13536	2	non	69	110	0	na
13582	46	non	69	0	0	na
13584	2	non	81	110	0	na
13630	46	non	81	0	0	na
13632	2	non	69	110	0	na
13678	46	non	69	0	0	na
13680	2	non	81	110	0	na
13726	46	non	81	0	0	na
13728	2	non	69	110	0	na
13774	46	non	69	0	0	na
13776	2	non	81	110	0	na
13822	46	non	81	0	0	na
13824	2	non	69	110	0	na
13870	46	non	69	0	0	na
13872	2	non	81	110	0	na
13918	46	non	81	0	0	na
13920	2	non	69	110	0	na
13966	46	non	69	0	0	na
13968	2	non	81	110	0	na
14014	46	non	81	0	0	na
14016	2	non	69	110	0	na
14062	46	non	69	0	0	na
14064	2	non	81	110	0	na
14110	46	non	81	0	0	na
14112	2	non	69	110	0	na
14158	46	non	69	0	0	na
14160	2	non	81	110	0	na
14206	46	non	81	0	0	na
14208	2	non	69	110	0	na
14254	46	non	69	0	0	na
14256	2	non	81	110	0	na
14302	46	non	81	0	0	na
14304	2	non	53	110	0	na
14304	0	non	69	110	0	na
14350	46	non	53	0	0	na
14350	0	non	69	0	0	na
14352	2	non	81	110	0	na
14398	46	non	81	0	0	na
14400	2	non	69	110	0	na
14446	46	non	69	0	0	na
14448	2	non	81	110	0	na
14494	46	non	81	0	0	na
14496	2	non	69	110	0	na
14542	46	non	69	0	0	na
14544	2	non	81	110	0	na
14590	46	non	81	0	0	na
14592	2	non	57	110	0	na
14686	94	non	57	0	0	na
14688	2	non	52	110	0	na
14688	0	non	64	110	0	na
14782	94	non	52	0	0	na
14782	0	non	64	0	0	na
14784	2	non	57	110	0	na
14878	94	non	57	0	0	na
14880	2	non	52	110	0	na
14880	0	non	64	110	0	na
14974	94	non	52	0	0	na
14974	0	non	64	0	0	na
14976	2	non	57	110	0	na
15070	94	non	57	0	0	na
15072	2	non	63	110	0	na
15166	94	non	63	0	0	na
15360	194	non	57	110	0	na
15454	94	non	57	0	0	na
15456	2	non	62	110	0	na
15550	94	non	62	0	0	na
15552	2	non	57	110	0	na
15646	94	non	57	0	0	na
15648	2	non	62	110	0	na
15742	94	non	62	0	0	na
15744	2	non	57	110	0	na
15838	94	non	57	0	0	na
15840	2	non	53	110	0	na
15840	0	non	65	110	0	na
15934	94	non	53	0	0	na
15934	0	non	65	0	0	na
16128	194	non	57	110	0	na
16222	94	non	57	0	0	na
16224	2	non	52	110	0	na
16224	0	non	64	110	0	na
16318	94	non	52	0	0	na
16318	0	non	64	0	0	na
16320	2	non	57	110	0	na
16414	94	non	57	0	0	na
16416	2	non	52	110	0	na
16416	0	non	64	110	0	na
16510	94	non	52	0	0	na
16510	0	non	64	0	0	na
16512	2	non	57	110	0	na
16606	94	non	57	0	0	na
16608	2	non	63	110	0	na
16702	94	non	63	0	0	na
16896	194	non	57	110	0	na
16990	94	non	57	0	0	na
16992	2	non	62	110	0	na
17086	94	non	62	0	0	na
17088	2	non	57	110	0	na
17182	94	non	57	0	0	na
17184	2	non	62	110	0	na
17278	94	non	62	0	0	na
17280	2	non	52	110	0	na
17280	0	non	57	110	0	na
17326	46	non	52	0	0	na
17326	0	non	57	0	0	na
17328	2	non	52	110	0	na
17374	46	non	52	0	0	na
