cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
21310	94	non	70	0	1	na
21312	2	non	70	110	1	na
21472	160	non	70	0	1	na
21504	32	non	65	110	1	na
21664	160	non	65	0	1	na
21696	32	non	67	110	1	na
21856	160	non	67	0	1	na
21888	32	non	67	110	1	na
22048	160	non	67	0	1	na
22080	32	non	74	110	1	na
22174	94	non	74	0	1	na
22176	2	non	72	110	1	na
22270	94	non	72	0	1	na
22272	2	non	70	110	1	na
22366	94	non	70	0	1	na
22368	2	non	67	110	1	na
22462	94	non	67	0	1	na
22464	2	non	72	110	1	na
22624	160	non	72	0	1	na
23424	800	non	77	110	1	na
23952	528	non	77	0	1	na
24000	48	non	79	110	1	na
24094	94	non	79	0	1	na
24096	2	non	81	110	1	na
24190	94	non	81	0	1	na
24192	2	non	82	110	1	na
24448	256	non	82	0	1	na
24480	32	non	77	110	1	na
24574	94	non	77	0	1	na
24576	2	non	77	110	1	na
24736	160	non	77	0	1	na
24960	224	non	67	110	1	na
25120	160	non	67	0	1	na
25152	32	non	77	110	1	na
25312	160	non	77	0	1	na
25344	32	non	75	110	1	na
25504	160	non	75	0	1	na
25536	32	non	67	110	1	na
25696	160	non	67	0	1	na
25728	32	non	70	110	1	na
26448	720	non	70	0	1	na
26496	48	non	69	110	1	na
27216	720	non	69	0	1	na
27264	48	non	70	110	1	na
27984	720	non	70	0	1	na
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
192	192	non	74	110	2	na
352	160	non	74	0	2	na
576	224	non	74	110	2	na
736	160	non	74	0	2	na
960	224	non	74	110	2	na
1120	160	non	74	0	2	na
1344	224	non	74	110	2	na
1504	160	non	74	0	2	na
1920	416	non	75	110	2	na
2080	160	non	75	0	2	na
2304	224	non	75	110	2	na
2464	160	non	75	0	2	na
2688	224	non	75	110	2	na
2848	160	non	75	0	2	na
3072	224	non	75	110	2	na
3232	160	non	75	0	2	na
3456	224	non	74	110	2	na
3616	160	non	74	0	2	na
3840	224	non	74	110	2	na
4000	160	non	74	0	2	na
4224	224	non	74	110	2	na
4384	160	non	74	0	2	na
4608	224	non	74	110	2	na
4768	160	non	74	0	2	na
4992	224	non	75	110	2	na
5152	160	non	75	0	2	na
5376	224	non	75	110	2	na
5536	160	non	75	0	2	na
5760	224	non	75	110	2	na
5920	160	non	75	0	2	na
6144	224	non	75	110	2	na
6304	160	non	75	0	2	na
6528	224	non	74	110	2	na
6688	160	non	74	0	2	na
6912	224	non	74	110	2	na
7072	160	non	74	0	2	na
7680	608	non	74	110	2	na
7840	160	non	74	0	2	na
8064	224	non	74	110	2	na
8224	160	non	74	0	2	na
8448	224	non	74	110	2	na
8608	160	non	74	0	2	na
10944	2336	non	77	110	2	na
11104	160	non	77	0	2	na
11136	32	non	77	110	2	na
11296	160	non	77	0	2	na
11328	32	non	77	110	2	na
11488	160	non	77	0	2	na
11520	32	non	77	110	2	na
11680	160	non	77	0	2	na
11712	32	non	74	110	2	na
11872	160	non	74	0	2	na
11904	32	non	74	110	2	na
12064	160	non	74	0	2	na
